Component Pins:
Owner   Type  Dir         Value  Name
    82  bit   IN          FALSE  and.3Dprobeactivation.in0
    82  bit   IN          FALSE  and.3Dprobeactivation.in1
    82  bit   OUT         FALSE  and.3Dprobeactivation.out
    82  s32   OUT            44  and.3Dprobeactivation.time
    82  bit   IN          FALSE  and.atcdb.in0
    82  bit   IN          FALSE  and.atcdb.in1
    82  bit   OUT         FALSE  and.atcdb.out
    82  s32   OUT            40  and.atcdb.time
    82  bit   IN          FALSE  and.atcledfast.in0
    82  bit   IN          FALSE  and.atcledfast.in1
    82  bit   OUT         FALSE  and.atcledfast.out
    82  s32   OUT            68  and.atcledfast.time
    82  bit   IN          FALSE  and.atcledslow.in0
    82  bit   IN          FALSE  and.atcledslow.in1
    82  bit   OUT         FALSE  and.atcledslow.out
    82  s32   OUT            92  and.atcledslow.time
    82  bit   IN          FALSE  and.ledgreen.in0
    82  bit   IN          FALSE  and.ledgreen.in1
    82  bit   OUT         FALSE  and.ledgreen.out
    82  s32   OUT            44  and.ledgreen.time
    82  bit   IN          FALSE  and.pauseresume1.in0
    82  bit   IN          FALSE  and.pauseresume1.in1
    82  bit   OUT         FALSE  and.pauseresume1.out
    82  s32   OUT            52  and.pauseresume1.time
    82  bit   IN          FALSE  and.pauseresume2.in0
    82  bit   IN          FALSE  and.pauseresume2.in1
    82  bit   OUT         FALSE  and.pauseresume2.out
    82  s32   OUT            36  and.pauseresume2.time
    82  bit   IN          FALSE  and.runstep1.in0
    82  bit   IN          FALSE  and.runstep1.in1
    82  bit   OUT         FALSE  and.runstep1.out
    82  s32   OUT            44  and.runstep1.time
    82  bit   IN          FALSE  and.runstep2.in0
    82  bit   IN          FALSE  and.runstep2.in1
    82  bit   OUT         FALSE  and.runstep2.out
    82  s32   OUT            32  and.runstep2.time
    82  bit   IN          FALSE  and.tlsactivation.in0
    82  bit   IN          FALSE  and.tlsactivation.in1
    82  bit   OUT         FALSE  and.tlsactivation.out
    82  s32   OUT            36  and.tlsactivation.time
    29  float OUT             0  axis.a.eoffset
    29  bit   IN          FALSE  axis.a.eoffset-clear
    29  s32   IN              0  axis.a.eoffset-counts
    29  bit   IN          FALSE  axis.a.eoffset-enable
    29  float OUT             0  axis.a.eoffset-request
    29  float IN              0  axis.a.eoffset-scale
    29  float IN              1  axis.a.jog-accel-fraction
    29  s32   IN              0  axis.a.jog-counts <== ilowpass-enc-a
    29  bit   IN          FALSE  axis.a.jog-enable <== pdnt.axis.a.jog-enable
    29  float IN              0  axis.a.jog-scale <== pdnt.axis.a.jog-scale-scale
    29  bit   IN          FALSE  axis.a.jog-vel-mode <== pdnt.axis.a.jog-vel-mode
    29  bit   OUT         FALSE  axis.a.kb-jog-active
    29  float OUT             0  axis.a.pos-cmd
    29  float OUT             0  axis.a.teleop-pos-cmd
    29  bit   OUT         FALSE  axis.a.teleop-tp-enable
    29  float OUT             0  axis.a.teleop-vel-cmd
    29  float OUT             0  axis.a.teleop-vel-lim
    29  bit   OUT         FALSE  axis.a.wheel-jog-active
    29  float OUT             0  axis.b.eoffset
    29  bit   IN          FALSE  axis.b.eoffset-clear
    29  s32   IN              0  axis.b.eoffset-counts
    29  bit   IN          FALSE  axis.b.eoffset-enable
    29  float OUT             0  axis.b.eoffset-request
    29  float IN              0  axis.b.eoffset-scale
    29  float IN              1  axis.b.jog-accel-fraction
    29  s32   IN              0  axis.b.jog-counts
    29  bit   IN          FALSE  axis.b.jog-enable
    29  float IN              0  axis.b.jog-scale
    29  bit   IN          FALSE  axis.b.jog-vel-mode
    29  bit   OUT         FALSE  axis.b.kb-jog-active
    29  float OUT             0  axis.b.pos-cmd
    29  float OUT             0  axis.b.teleop-pos-cmd
    29  bit   OUT         FALSE  axis.b.teleop-tp-enable
    29  float OUT             0  axis.b.teleop-vel-cmd
    29  float OUT             0  axis.b.teleop-vel-lim
    29  bit   OUT         FALSE  axis.b.wheel-jog-active
    29  float OUT             0  axis.c.eoffset
    29  bit   IN          FALSE  axis.c.eoffset-clear
    29  s32   IN              0  axis.c.eoffset-counts
    29  bit   IN          FALSE  axis.c.eoffset-enable
    29  float OUT             0  axis.c.eoffset-request
    29  float IN              0  axis.c.eoffset-scale
    29  float IN              1  axis.c.jog-accel-fraction
    29  s32   IN              0  axis.c.jog-counts
    29  bit   IN          FALSE  axis.c.jog-enable
    29  float IN              0  axis.c.jog-scale
    29  bit   IN          FALSE  axis.c.jog-vel-mode
    29  bit   OUT         FALSE  axis.c.kb-jog-active
    29  float OUT             0  axis.c.pos-cmd
    29  float OUT             0  axis.c.teleop-pos-cmd
    29  bit   OUT         FALSE  axis.c.teleop-tp-enable
    29  float OUT             0  axis.c.teleop-vel-cmd
    29  float OUT             0  axis.c.teleop-vel-lim
    29  bit   OUT         FALSE  axis.c.wheel-jog-active
    29  float OUT             0  axis.u.eoffset
    29  bit   IN          FALSE  axis.u.eoffset-clear
    29  s32   IN              0  axis.u.eoffset-counts
    29  bit   IN          FALSE  axis.u.eoffset-enable
    29  float OUT             0  axis.u.eoffset-request
    29  float IN              0  axis.u.eoffset-scale
    29  float IN              1  axis.u.jog-accel-fraction
    29  s32   IN              0  axis.u.jog-counts
    29  bit   IN          FALSE  axis.u.jog-enable
    29  float IN              0  axis.u.jog-scale
    29  bit   IN          FALSE  axis.u.jog-vel-mode
    29  bit   OUT         FALSE  axis.u.kb-jog-active
    29  float OUT             0  axis.u.pos-cmd
    29  float OUT             0  axis.u.teleop-pos-cmd
    29  bit   OUT         FALSE  axis.u.teleop-tp-enable
    29  float OUT             0  axis.u.teleop-vel-cmd
    29  float OUT             0  axis.u.teleop-vel-lim
    29  bit   OUT         FALSE  axis.u.wheel-jog-active
    29  float OUT             0  axis.v.eoffset
    29  bit   IN          FALSE  axis.v.eoffset-clear
    29  s32   IN              0  axis.v.eoffset-counts
    29  bit   IN          FALSE  axis.v.eoffset-enable
    29  float OUT             0  axis.v.eoffset-request
    29  float IN              0  axis.v.eoffset-scale
    29  float IN              1  axis.v.jog-accel-fraction
    29  s32   IN              0  axis.v.jog-counts
    29  bit   IN          FALSE  axis.v.jog-enable
    29  float IN              0  axis.v.jog-scale
    29  bit   IN          FALSE  axis.v.jog-vel-mode
    29  bit   OUT         FALSE  axis.v.kb-jog-active
    29  float OUT             0  axis.v.pos-cmd
    29  float OUT             0  axis.v.teleop-pos-cmd
    29  bit   OUT         FALSE  axis.v.teleop-tp-enable
    29  float OUT             0  axis.v.teleop-vel-cmd
    29  float OUT             0  axis.v.teleop-vel-lim
    29  bit   OUT         FALSE  axis.v.wheel-jog-active
    29  float OUT             0  axis.w.eoffset
    29  bit   IN          FALSE  axis.w.eoffset-clear
    29  s32   IN              0  axis.w.eoffset-counts
    29  bit   IN          FALSE  axis.w.eoffset-enable
    29  float OUT             0  axis.w.eoffset-request
    29  float IN              0  axis.w.eoffset-scale
    29  float IN              1  axis.w.jog-accel-fraction
